title,price
"MSI Escritorio para juegos Codex Z2: AMD R7-8700F, GeForce RTX 5070, 32GB DDR5, 2TB m.2 NVMe SSD, USB tipo C, listo para VR, Windows 11 Home: A8NVP-436US","1,699."
,
"Xbox Wireless Gaming Controller (2025) – Carbon Black – Play on Xbox, Windows, Android, iOS, FireTV Sticks, Smart TVs, VR Headsets",25.
"Logitech G 305 LIGHTSPEED - Mouse inalámbrico para juegos, sensor Hero 12K, 12,000 DPI, ligero, 6 botones programables, duración de batería de 250 horas, memoria integrada, PC/Mac, color negro",25.
"16 Inch Gaming Laptop, Laptop Computer 2025 Windows 11 Pro, 16GB RAM 512GB SSD, Intel 12th Gen N95 Processor(up to 3.4GHz), Backlit Keyboard, Fingerprint Unlock, FHD 1920 * 1200",339.
